NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
04/16/2020,Electro Rent,Denton,North Central Texas WDA,7,04/16/2020,04/28/2020,Roanoke
04/15/2020,Chalk Montain Services of Texas LLC - Pleasanton,Atascosa,Alamo WDA,14,04/15/2020,05/01/2020,Pleasanton
04/15/2020,CalFrac Well Services,Bexar,Alamo WDA,134,04/15/2020,04/24/2020,San Antonio
04/15/2020,Ahern Rentals,Ector,Permian Basin WDA,3,03/30/2020,04/16/2020,Odessa
04/15/2020,Baker Hughes-Houston,Harris,Gulf Coast WDA,184,06/15/2020,04/22/2020,Houston
04/15/2020,Shawcor Pipe Protection,Brazoria,Gulf Coast WDA,65,05/04/2020,04/21/2020,Pearland
04/15/2020,Diamond Offshore Drilling Corporate,Harris,Gulf Coast WDA,102,04/15/2020,04/15/2020,Houston
04/14/2020,NexTier Completion Solutions Inc. - Onyx Dr,Midland,Permian Basin WDA,60,03/19/2020,04/22/2020,Midland
04/14/2020,NexTier Completion Solutions Inc. - FM 1788,Midland,Permian Basin WDA,133,01/17/2020,04/22/2020,Midland
04/14/2020,NexTier Completion Solutions Inc. - E IH 20,Midland,Permian Basin WDA,58,03/19/2020,04/22/2020,Midland
04/14/2020,NexTier Completion Solutions Inc. - Pecos,Reeves,Permian Basin WDA,49,03/20/2020,04/22/2020,Pecos
04/14/2020,NexTier Completion Solutions Inc. - Odessa,Ector,Permian Basin WDA,197,02/10/2020,04/22/2020,Odessa
04/14/2020,Paul Martin's American Grill,Travis,Capital Area WDA,81,04/07/2020,04/22/2020,Austin
04/14/2020,NexTier Completion Solutions Inc. - Westpark Dr.,Fort Bend,Gulf Coast WDA,85,03/19/2020,04/22/2020,Houston
04/14/2020,NexTier Completion Solutions Inc.- Rogerdale,Fort Bend,Gulf Coast WDA,196,01/07/2020,04/22/2020,Houston
04/14/2020,Titan Production Equipment-Alleyton,Colorado,Gulf Coast WDA,56,04/10/2020,04/29/2020,Alleyton
04/14/2020,"Titan Production Equipment, LLC",Montgomery,Gulf Coast WDA,10,04/10/2020,04/29/2020,Woodlands
04/14/2020,NexTier Completion Solutions Inc.,Atascosa,Alamo WDA,64,03/24/2020,04/22/2020,Pleasanton
04/14/2020,Pappasito's 04,Harris,Gulf Coast WDA,142,03/16/2020,04/14/2020,Webster
04/14/2020,FTS International Services-Longview,Gregg,East Texas WDA,58,04/14/2020,04/21/2020,Longview
04/14/2020,"Sun Coast Resources, Inc.",Midland,Permian Basin WDA,50,04/10/2020,04/15/2020,Midland
04/14/2020,Vroom-Houston,Harris,Permian Basin WDA,36,05/03/2020,04/27/2020,Houston
04/14/2020,Vroom-Stafford,Harris,Gulf Coast WDA,59,05/03/2020,04/27/2020,Stafford
04/14/2020,Pier 1 Imports - Tarrant,Tarrant,Tarrant County WDA,585,06/01/2020,04/21/2020,Ft. Worth
04/14/2020,Pier 1 Imports-Mansfield,Tarrant,Tarrant County WDA,67,06/01/2020,04/21/2020,Mansfield
04/14/2020,Signal Peak Silica,Ward,Permian Basin WDA,37,04/14/2020,04/24/2020,Monahans
04/13/2020,Signing Day One-D1 Training,Kendall,Alamo WDA,3,04/09/2020,05/01/2020,Boerne
04/13/2020,At Home Corporate,Collin,North Central Texas WDA,147,04/11/2020,04/24/2020,Plano
04/13/2020,Take 5 Department 199,Bexar,Alamo WDA,7,03/22/2020,04/13/2020,San Antonio
04/13/2020,US Silica-Sandbox Logistics,Midland,Permian Basin WDA,105,04/16/2020,04/22/2020,Midland
04/13/2020,Take 5 Department 179,Bexar,Alamo WDA,11,03/22/2020,04/13/2020,San Antonio
04/13/2020,Beyond Finance,Harris,Gulf Coast WDA,302,04/19/2020,04/21/2020,Houston
04/13/2020,America's Auto Auction Texas,Hays,Rural Capital WDA,1,03/17/2020,04/13/2020,Buda
04/13/2020,Guess?,Webb,South Texas WDA,30,04/02/2020,04/15/2020,Laredo
04/13/2020,Covia-Kermit,Winkler,Permian Basin WDA,82,04/13/2020,04/21/2020,Kermit
04/13/2020,Dog and Pony Grill,Kendall,Alamo WDA,29,04/09/2020,05/01/2020,Boerne
04/13/2020,Alamo Drafthouse-Corpus Christi,Nueces,Coastal Bend WDA,128,03/17/2020,05/01/2020,Corpus Ch
04/13/2020,Alamo Drafthouse-Laredo,Webb,South Texas WDA,112,03/17/2020,05/01/2020,Laredo
04/13/2020,Allied Aviation Fueling Co,Bexar,Alamo WDA,6,05/13/2020,05/04/2020,San Antonio
04/13/2020,Yazaki North America,El Paso,Borderplexjobs WDA,83,04/13/2020,04/13/2020,El Paso
04/13/2020,MCD Innovations,Collin,North Central Texas WDA,25,03/26/2020,04/22/2020,McKinney
04/13/2020,Pappadeaux Seafood Kitchen 33,Harris,Gulf Coast WDA,120,03/16/2020,04/13/2020,Houston
04/10/2020,Willie's Grill & Icehouse - I35 South,Bexar,Alamo WDA,40,03/17/2020,04/21/2020,San Antonio
04/10/2020,Willie's Grill & Icehouse -  College Station,Brazos,Brazos Valley WDA,28,03/17/2020,04/21/2020,College Station
04/10/2020,Willie's Grill & Icehouse - Conroe,Montgomery,Gulf Coast WDA,51,03/17/2020,04/21/2020,Conroe
04/10/2020,Willie's Grill & Icehouse.,Bexar,Alamo WDA,45,03/17/2020,04/21/2020,San Antonio
04/10/2020,Willie's Grill & Icehouse - Spring,Harris,Gulf Coast WDA,41,03/14/2020,04/21/2020,Spring
04/10/2020,Willie's Grill & Icehouse - Leon Springs,Bexar,Alamo WDA,38,03/17/2020,04/21/2020,Leon Springs
04/10/2020,Willie's Grill & Icehouse - New Braunfels,Comal,Alamo WDA,45,03/17/2020,04/21/2020,New Braunfels
04/10/2020,Willie's Grill &  Icehouse - North Loop,Bexar,Alamo WDA,35,03/17/2020,04/21/2020,San Antonio
04/10/2020,Willie's Grill & Icehouse,Bexar,Alamo WDA,32,03/17/2020,04/21/2020,San Antonio
04/10/2020,Willie's Grill & Icehouse - Katy Fwy,Fort Bend,Gulf Coast WDA,40,03/17/2020,04/21/2020,Houston
04/10/2020,Willie's Grill & Icehouse - Cypress,Harris,Gulf Coast WDA,51,03/17/2020,04/21/2020,Cypress
04/10/2020,Pacific Drilling - Pacific Sharav,Fort Bend,Gulf Coast WDA,82,04/13/2020,04/13/2020,Houston
04/10/2020,Willie's Grill & Icehouse - Georgetown,Williamson,Rural Capital WDA,69,03/17/2020,04/21/2020,Georgetown
04/10/2020,Hilton Garden Inn - Dallas Market Center,Dallas,Dallas County WDA,61,03/16/2020,04/10/2020,Dallas
04/10/2020,"Yazaki North America dba Elcom, Inc.",El Paso,Borderplexjobs WDA,43,04/13/2020,04/13/2020,El Paso
04/10/2020,Willie's Grill & Icehouse - Hwy 6 N,Fort Bend,Gulf Coast WDA,77,03/17/2020,04/21/2020,Houston
04/10/2020,Willie's Grill & Icehouse - 1960 RD,Fort Bend,Gulf Coast WDA,29,03/17/2020,04/21/2020,Houston
04/10/2020,Willie's Grill & Icehouse - NW FWY,Fort Bend,Gulf Coast WDA,35,03/17/2020,04/21/2020,Houston
04/10/2020,NexTier Completion Solutions Inc. - San Angelo,Tom Green,Concho Valley WDA,53,03/19/2020,04/22/2020,San Angelo
04/10/2020,Willie's Grill & Icehouse - Sugar Land,Fort Bend,Gulf Coast WDA,37,03/17/2020,04/21/2020,Sugar Land
04/10/2020,Avis Budget Car Rental-Airport Blvd,Harris,Gulf Coast WDA,47,03/13/2020,04/29/2020,Houston
04/10/2020,Willie's Grill & Icehouse - HWY 249,Fort Bend,Gulf Coast WDA,39,03/17/2020,04/21/2020,Houston
04/09/2020,Turner Industries-Corpus Christi,Nueces,Coastal Bend WDA,40,06/11/2020,04/21/2020,Corpus Ch
04/09/2020,Universal Pressure Pumping,Midland,Permian Basin WDA,70,04/09/2020,04/13/2020,Midland
04/09/2020,Black Bear Diner-Sugarland,Fort Bend,Gulf Coast WDA,46,05/07/2020,04/24/2020,Sugarland
04/09/2020,Black Bear Diner-Shenandoah,Montgomery,Gulf Coast WDA,71,05/07/2020,04/21/2020,Shenandoah
04/09/2020,Black Bear Diner-Katy,Fort Bend,Gulf Coast WDA,47,05/07/2020,04/24/2020,Katy
04/09/2020,Black Bear Diner-Humble,Harris,Gulf Coast WDA,56,05/07/2020,04/24/2020,Humble
04/09/2020,Black Bear Diner-15720 N Frwy,Harris,Gulf Coast WDA,42,05/07/2020,04/24/2020,Houston
04/09/2020,Black Bear Diner-19823 NW Frwy,Harris,Gulf Coast WDA,2,05/07/2020,04/24/2020,Houston
04/09/2020,Embassy Suites-Dallas Love Field,Dallas,Dallas County WDA,58,03/09/2020,04/10/2020,Dallas
04/09/2020,InterContinental Houston Medical Center,Fort Bend,Gulf Coast WDA,75,04/09/2020,04/13/2020,Houston
04/09/2020,Gristmill River Restaurant and Bar,Comal,Alamo WDA,305,03/19/2020,04/10/2020,New Braunfels
04/09/2020,Step Energy Services,Midland,Permian Basin WDA,76,04/16/2020,04/10/2020,Midland
04/09/2020,Capital Sand Permian,Ward,Permian Basin WDA,50,04/07/2020,04/10/2020,Monahans
04/09/2020,VSPOne Dallas,Denton,North Central Texas WDA,133,04/10/2020,04/21/2020,Lewisville
04/08/2020,Medieval Times,Dallas,Dallas County WDA,190,03/12/2020,04/15/2020,Dallas
04/08/2020,Prospect Airport Services-DFW Airport,Tarrant,Tarrant County WDA,201,03/20/2020,04/29/2020,DFW Airport
04/07/2020,North American Dental Group,Collin,North Central Texas WDA,12,03/23/2020,04/24/2020,Allen
04/07/2020,Universal Pressure Pumping-Pearsall,Frio,Tarrant County WDA,200,04/07/2020,04/14/2020,Pearsall
04/07/2020,North American Dental - Roanoke,Denton,North Central Texas WDA,8,03/23/2020,04/24/2020,Roanoke
04/07/2020,North American Dental - Tyler,Smith,East Texas WDA,32,03/23/2020,04/24/2020,Tyler
04/07/2020,"Huhtamaki, Inc.",Lamar,North East Texas WDA,60,04/07/2020,04/10/2020,Paris
04/07/2020,Halliburton-Elmendorf,Bexar,Alamo WDA,384,04/07/2020,04/07/2020,Elmendorf
04/07/2020,Leggette & Pratt Inc.,Ellis,North Central Texas WDA,192,04/05/2020,04/13/2020,Ennis
04/07/2020,El Gallo-,Harris,Gulf Coast WDA,9,03/31/2020,04/07/2020,Houston
04/07/2020,Epic Piping LLC,Hays,Rural Capital WDA,73,04/07/2020,04/21/2020,San Marcos
04/07/2020,Avianca-Houston,Harris,Gulf Coast WDA,1,04/01/2020,04/28/2020,Houston
04/07/2020,Avianca-DFW Airport,Dallas,Dallas County WDA,1,04/01/2020,04/28/2020,DFW Airport
04/07/2020,Frontier Enterp;rise,Bexar,Alamo WDA,1000,04/07/2020,04/07/2020,San Antonio
04/07/2020,YMCA-San Antonio,Bexar,Alamo WDA,1679,03/18/2020,04/07/2020,San Antonio
04/07/2020,"Exeter Finance, LLC",Dallas,Dallas County WDA,29,04/07/2020,04/21/2020,Irving
04/07/2020,ProPetro-Cement Operations Facility,Midland,Permian Basin WDA,39,04/07/2020,04/10/2020,Midland
04/06/2020,Haliburton Energy Services-Brownfield,Terry,South Plains WDA,41,04/06/2020,04/06/2020,Brownfield
04/06/2020,Questo Beso,Dallas,Dallas County WDA,42,03/16/2020,04/13/2020,Dallas
04/06/2020,Scholastic Book Faris-Houston,Harris,Gulf Coast WDA,86,04/23/2020,04/28/2020,Houston
04/06/2020,Haliburton Energy Services-Odessa,Ector,Permian Basin WDA,237,04/06/2020,04/06/2020,Odessa
04/06/2020,Traffic Los Angeles--Joule Hotel,Dallas,Dallas County WDA,4,03/16/2020,04/13/2020,Dallas
04/06/2020,Forty Five Ten,Dallas,Dallas County WDA,10,03/16/2020,04/13/2020,Dallas
04/06/2020,Scholastic Book Fairs-Waco,McLennan,Heart of Texas WDA,43,03/20/2020,04/28/2020,Waco
04/06/2020,Tango Room,Dallas,Dallas County WDA,2,03/16/2020,04/13/2020,Dallas
04/06/2020,"Wheelhouse, Sassetta",Dallas,Dallas County WDA,82,03/16/2020,04/13/2020,Dallas
04/06/2020,The Porch,Dallas,Dallas County WDA,69,03/16/2020,04/13/2020,Dallas
04/06/2020,The Joule Hotel,Dallas,Dallas County WDA,432,03/19/2020,04/13/2020,Dallas
04/06/2020,Forty Five Ten-Highland Park,Dallas,Dallas County WDA,34,03/16/2020,04/13/2020,Dallas
04/06/2020,Benihana-Plano,Collin,North Central Texas WDA,56,03/18/2020,04/13/2020,Plano
04/06/2020,"Vallourec Sta, LP",Harris,Gulf Coast WDA,144,05/09/2020,05/01/2020,Houston
04/06/2020,The Commisary,Dallas,Dallas County WDA,19,03/16/2020,04/13/2020,Dallas
04/06/2020,Scholastic Book Fairs-Arlington,Tarrant,Tarrant County WDA,85,03/24/2020,04/28/2020,Arlington
04/06/2020,Paul Martin's-Dallas,Dallas,Dallas County WDA,57,04/07/2020,04/22/2020,Dallas
04/05/2020,Ra Sushi-Austin,Travis,Capital Area WDA,55,03/17/2020,04/13/2020,Austin
04/05/2020,Ra Sushi-Southlake,Tarrant,Tarrant County WDA,33,03/18/2020,04/13/2020,Southlake
04/05/2020,Benihana Las Colinas,Dallas,Dallas County WDA,53,03/17/2020,04/08/2020,Irving
04/05/2020,Benihana Dallas,Dallas,Dallas County WDA,72,03/17/2020,04/08/2020,Dallas
04/05/2020,Ra Sushi-Houston,Harris,Gulf Coast WDA,67,03/17/2020,04/13/2020,Houston
04/05/2020,Benihana-The Woodlands,Montgomery,Gulf Coast WDA,38,03/19/2020,04/13/2020,The Woodlands
04/05/2020,Benihana-Westhiemer,Harris,Gulf Coast WDA,52,03/17/2020,04/13/2020,Houston
04/05/2020,Ra Sushi-Plano,Collin,North Central Texas WDA,44,03/18/2020,04/13/2020,Plano
04/05/2020,Benihana-Houston,Harris,Gulf Coast WDA,41,03/17/2020,04/13/2020,Houston
04/05/2020,Benihana-Sugarland,Fort Bend,Gulf Coast WDA,41,03/17/2020,04/13/2020,Sugar Land
04/04/2020,Justin Brands-W. Daggett,Tarrant,Tarrant County WDA,121,04/05/2020,04/22/2020,Ft. Worth
04/03/2020,David McDavid Acura,Travis,Capital Area WDA,13,04/03/2020,04/22/2020,Austin
04/03/2020,David McDavid Acura-Plano,Collin,North Central Texas WDA,42,04/03/2020,04/22/2020,Plano
04/03/2020,David McDavid- Lincoln,Collin,North Central Texas WDA,27,04/03/2020,04/22/2020,Plano
04/03/2020,JW Marriott Austin,Travis,Capital Area WDA,166,04/10/2020,04/14/2020,Austin
04/03/2020,National Credit Services,Dallas,Dallas County WDA,141,04/03/2020,04/07/2020,Dallas
04/03/2020,David McDavid- Ford,Tarrant,Tarrant County WDA,50,04/03/2020,04/22/2020,Ft. Worth
04/03/2020,David McDavid- Honda,Dallas,Dallas County WDA,50,04/03/2020,04/22/2020,Irving
04/03/2020,South Texas Eye Institute,Bexar,Alamo WDA,21,03/23/2020,04/21/2020,San Antonio
04/03/2020,US Silica-Crane Facility,Crane,Permian Basin WDA,71,05/21/2020,04/22/2020,Crane
04/03/2020,David McDavid Honda-Frisco,Collin,North Central Texas WDA,67,04/03/2020,04/22/2020,Frisco
04/03/2020,"Roquemore Holdings, LLC",Dallas,Dallas County WDA,37,04/03/2020,04/08/2020,Garland
04/03/2020,Global Investigative Services,Dallas,Dallas County WDA,11,04/03/2020,04/08/2020,Garland
04/03/2020,Turner Industries-Pasadena,Harris,Gulf Coast WDA,105,06/05/2020,04/08/2020,Pasadena
04/02/2020,Kinsel Ford-Toyota,Jefferson,South East Texas WDA,8,04/02/2020,04/22/2020,Beaumont
04/02/2020,Martin-Brower Co. LLC,Montgomery,Gulf Coast WDA,44,04/02/2020,04/15/2020,Conroe
04/02/2020,Tandy Leather Co.,Tarrant,Tarrant County WDA,14,04/01/2020,04/14/2020,Ft. Worth
04/02/2020,"UTLX Manufacturing, Inc.",Harris,Gulf Coast WDA,81,06/01/2020,04/13/2020,Houston
04/02/2020,Turner Industries,Lamar,North East Texas WDA,500,06/05/2020,04/08/2020,Paris
04/02/2020,"Watson & Chalin Manufacturing, Inc. - McKinney",Collin,North Central Texas WDA,103,04/03/2020,04/21/2020,McKinney
04/02/2020,Pioneer Frozen Foods,Dallas,Dallas County WDA,90,03/27/2020,04/06/2020,Duncanville
04/02/2020,Palmer of Texas,Andrews,Permian Basin WDA,50,04/01/2020,04/06/2020,Andrews
04/02/2020,Fairfield Inn & Suites Dallas,Dallas,Dallas County WDA,56,03/25/2020,04/14/2020,Dallas
04/02/2020,"Kinsel Ford, Inc.",Jefferson,South East Texas WDA,19,04/02/2020,04/22/2020,Beaumont
04/01/2020,Avis Car Rental,Dallas,Dallas County WDA,901,03/13/2020,05/01/2020,Dallas
04/01/2020,Avis Car Rental-3937 26th Ave,Dallas,Dallas County WDA,12,03/11/2020,05/01/2020,Dallas
04/01/2020,Zachary Industrial-LyndellBaseII,Harris,Gulf Coast WDA,288,03/30/2020,04/09/2020,Houston
04/01/2020,Hampton Inn-Frisco,Collin,North Central Texas WDA,11,04/01/2020,04/21/2020,Frisco
04/01/2020,Courtyard by Marriott Austin,Travis,Capital Area WDA,53,04/01/2020,04/21/2020,Pflugerville
04/01/2020,Hyatt Place-Cedar Park,Williamson,Rural Capital WDA,12,04/01/2020,04/21/2020,Cedar Park
04/01/2020,Avis Car Rental-Cedar Springs,Dallas,Dallas County WDA,33,03/13/2020,05/01/2020,Dallas
04/01/2020,Avis Car Rental-3850 26th,Dallas,Dallas County WDA,8,03/11/2020,05/01/2020,Dallas
03/31/2020,Fixbrewhouse-El Paso,El Paso,Borderplexjobs WDA,127,05/01/2020,04/08/2020,El Paso
03/31/2020,El Gallo,Harris,Gulf Coast WDA,10,03/31/2020,04/07/2020,Houston
03/31/2020,Guadalajara Hacienda-,Montgomery,Gulf Coast WDA,42,03/31/2020,04/07/2020,Shenandoah
03/31/2020,HMS Host-Lubbock Airport,Lubbock,South Plains WDA,15,03/19/2020,04/27/2020,Lubbock
03/31/2020,HMS Host-El Paso Airport,El Paso,Borderplexjobs WDA,70,03/19/2020,04/27/2020,El Paso
03/31/2020,Pioneer Frozen Foods-Dallas,Dallas,Dallas County WDA,70,04/03/2020,04/09/2020,Dallas
03/31/2020,Guadalajara Hacienda,Fort Bend,Gulf Coast WDA,37,03/31/2020,04/07/2020,Katy
03/31/2020,InterContinental-Stephen F Austin,Travis,Capital Area WDA,99,04/03/2020,04/21/2020,Austin
03/31/2020,Guadalajara Grille,Harris,Gulf Coast WDA,36,03/31/2020,04/07/2020,Houston
03/31/2020,Step Energy Services-Floresville,Wilson,Alamo WDA,69,04/16/2020,04/13/2020,Floresville
03/31/2020,Justin Brands-Ft Worth,Tarrant,Tarrant County WDA,10,03/20/2020,04/14/2020,Fort Worth
03/31/2020,Fixbrewhouse-San Antonio,Bexar,Alamo WDA,164,05/01/2020,04/08/2020,San Antonio
03/31/2020,Justin Brands-Childress,Childress,Panhandle WDA,7,03/20/2020,04/14/2020,Childress
03/31/2020,Great American Products Ltd.,Comal,Alamo WDA,1,03/25/2020,03/31/2020,New Braunfels
03/31/2020,Justin Brands-El Paso,El Paso,Borderplexjobs WDA,179,03/20/2020,04/14/2020,El Paso
03/31/2020,Holiday Inn-Riverwalk,Bexar,Alamo WDA,61,04/03/2020,04/01/2020,San Antonio
03/31/2020,Guadalajara Del Centro,Harris,Gulf Coast WDA,71,04/01/2020,04/07/2020,Houston
03/31/2020,SiteMinder Hospitality-Colonnade,Dallas,Dallas County WDA,36,03/31/2020,04/14/2020,Addison
03/31/2020,Drive Time,Johnson,Tarrant County WDA,108,03/30/2020,03/31/2020,Ft. Worth
03/31/2020,"Flixbrewhouse-Cinema Breweries,Inc.",Williamson,Rural Capital WDA,168,05/01/2020,04/08/2020,Round Rock
03/31/2020,Fixbrewhouse-Frisco,Collin,North Central Texas WDA,137,05/01/2020,04/08/2020,Frisco
03/31/2020,"uShip, Inc.",Travis,Capital Area WDA,65,04/09/2020,04/06/2020,Austin
03/31/2020,Justin Brands-N. Desert,El Paso,Borderplexjobs WDA,5,03/20/2020,04/14/2020,El Paso
03/31/2020,Justin Brands--Gateway W,El Paso,Borderplexjobs WDA,6,03/16/2020,04/14/2020,El Paso
03/31/2020,Justin Brands-1756 Gateway,El Paso,Borderplexjobs WDA,6,03/20/2020,04/14/2020,El Paso
03/31/2020,Justin Brands-7100 Gateway E,El Paso,Borderplexjobs WDA,6,03/20/2020,04/14/2020,El Paso
03/31/2020,"DynaEnergetics US, Inc.",Hill,Heart of Texas WDA,85,03/31/2020,04/15/2020,Blum
03/30/2020,Sport Clips - FM620,Travis,Capital Area WDA,6,03/28/2020,04/13/2020,Austin
03/30/2020,Sport Clips - Trimmier Rd,Bell,Central Texas WDA,10,03/28/2020,04/13/2020,Killeen
03/30/2020,Sport Clips - Hwy 190,Coryell,Central Texas WDA,9,03/28/2020,04/13/2020,Copperas Cove
03/30/2020,Sport Clips - Town Center,Travis,Capital Area WDA,12,03/28/2020,04/13/2020,Pflugerville
03/30/2020,Sport Clips - Frontage Rd.,Travis,Capital Area WDA,13,03/28/2020,04/13/2020,Austin
03/30/2020,Sport Clips - Shops Pkwy,Travis,Capital Area WDA,13,03/28/2020,04/13/2020,Austin
03/30/2020,Sport Clips - S. IH-35 Round Rock,Williamson,Rural Capital WDA,6,03/28/2020,04/13/2020,Round Rock
03/30/2020,Sport Clips - Walton Way,Williamson,Rural Capital WDA,8,03/28/2020,04/13/2020,Cedar Park
03/30/2020,Veritas Shop Fabrication,Smith,East Texas WDA,67,03/26/2020,03/30/2020,Whitehouse
03/30/2020,Holiday Inn Army Hotels,Bexar,Alamo WDA,61,04/17/2020,03/30/2020,San Antonio
03/30/2020,Sport Clips - Palm Valley,Williamson,Rural Capital WDA,8,03/28/2020,04/13/2020,Round Rock
03/30/2020,Sport Clips - University Oaks,Williamson,Rural Capital WDA,9,03/28/2020,04/13/2020,Round Rock
03/30/2020,Sport Clips - Whitestone Blvd,Williamson,Rural Capital WDA,10,03/28/2020,04/13/2020,Cedar Park
03/30/2020,Sport Clips - Kyle Parkway,Hays,Rural Capital WDA,12,03/28/2020,04/13/2020,Kyle
03/30/2020,Sports Clips - San Antonio Rd,Hays,Rural Capital WDA,7,03/28/2020,04/13/2020,Buda
03/30/2020,Double Tree by Hilton Hotel,Travis,Capital Area WDA,63,03/13/2020,04/06/2020,Austin
03/30/2020,Sport Clips - Agnes St.,Bastrop,Rural Capital WDA,11,03/28/2020,04/13/2020,Bastrop
03/30/2020,Sport Clips - Rivery Blvd.,Williamson,Rural Capital WDA,17,03/28/2020,04/13/2020,Georgetown
03/30/2020,Drive Time - Houston,Fort Bend,Gulf Coast WDA,61,03/30/2020,04/27/2020,Houston
03/30/2020,Hilton Houston Westchase,Harris,Gulf Coast WDA,50,03/27/2020,04/07/2020,Houston
03/30/2020,IKO Southwest LLC,Hill,Heart of Texas WDA,31,03/30/2020,04/27/2020,Hillsboro
03/30/2020,"EMI Industries, LLC",Tarrant,Tarrant County WDA,30,03/30/1930,04/08/2020,Arlington
03/30/2020,Sport Clips - N. Mopac,Travis,Capital Area WDA,12,03/28/2020,04/13/2020,Austin
03/30/2020,Sport clips - Bee Caves,Travis,Capital Area WDA,6,03/28/2020,04/13/2020,Austin
03/30/2020,Sport Clips - Lakeline,Travis,Capital Area WDA,9,03/28/2020,04/13/2020,Austin
03/30/2020,Sport Clips - Hwy. 290,Travis,Capital Area WDA,13,03/28/2020,04/13/2020,Austin
03/29/2020,Suitssupply-Dallas,Dallas,Dallas County WDA,19,03/29/2020,04/15/2020,Dallas
03/29/2020,Suitsupply-Austin,Travis,Capital Area WDA,7,03/29/2020,04/15/2020,Austin
03/28/2020,Ahern Rentals-El Paso,El Paso,Borderplexjobs WDA,1,03/30/2020,04/20/2020,El Paso
03/28/2020,Ahern Rentals-Corpus Christi.,Nueces,Coastal Bend WDA,1,03/30/2020,04/20/2020,Corpus Ch
03/28/2020,Ahern Rentals-Irving,Dallas,Dallas County WDA,12,03/30/2020,04/20/2020,Irving
03/28/2020,Ahern Rentals-Lubbock,Lubbock,South Plains WDA,1,03/30/2020,04/20/2020,Lubbock
03/28/2020,Ahern Rentals-Houston,Harris,Gulf Coast WDA,12,03/30/2020,04/20/2020,Houston
03/28/2020,Ahern Rentals-Ft Worth,Tarrant,Tarrant County WDA,3,03/30/2020,04/20/2020,Fort Worth
03/28/2020,Ahern Rentals-San Antonio,Bexar,Alamo WDA,2,03/30/2020,04/20/2020,San Antonio
03/27/2020,Paper Source-N. Lamar,Travis,Capital Area WDA,12,03/29/2020,04/10/2020,Austin
03/27/2020,Down on Grayson,Bexar,Alamo WDA,75,03/18/2020,03/31/2020,San Antonio
03/27/2020,DriveTime Automotive-Houston,Harris,Gulf Coast WDA,61,03/30/2020,04/30/2020,Houston
03/27/2020,Westin Stonbriar Hotel,Collin,North Central Texas WDA,123,03/20/2020,03/30/2020,Frisco
03/27/2020,Paper Source-Southlake,Denton,Tarrant County WDA,6,03/29/2020,04/08/2020,Southlake
03/27/2020,"Charbonneau Industries, Inc.",Harris,Gulf Coast WDA,60,04/10/2020,04/14/2020,Houston
03/27/2020,Paper Source-Palm Way,Travis,Capital Area WDA,10,03/29/2020,04/10/2020,Austin
03/27/2020,Charbonneau Ind.-Warehouse,Harris,Gulf Coast WDA,20,04/10/2020,04/14/2020,Houston
03/27/2020,Trico Products,Cameron,Cameron County WDA,212,03/30/2020,03/30/2020,Brownsville
03/27/2020,Paper Source,Dallas,Dallas County WDA,11,03/29/2020,04/01/2020,Dallas
03/27/2020,Pinnacle Logistics,Dallas,Dallas County WDA,134,03/28/2020,03/30/2020,Dallas
03/27/2020,Dorman Milano Hat Co.,Dallas,Dallas County WDA,20,03/31/2020,04/01/2020,Dallas
03/27/2020,Paper Source-Cole Ave,Dallas,Dallas County WDA,10,03/29/2020,04/01/2020,Dallas
03/27/2020,Paper Source-Town and Country,Harris,Gulf Coast WDA,10,03/29/2020,04/13/2020,Houston
03/27/2020,Paper Source-Plano,Collin,North Central Texas WDA,8,03/29/2020,04/08/2020,Plano
03/27/2020,Rosewood Mansion,Dallas,Dallas County WDA,1,03/27/2020,04/30/2020,Dallas
03/27/2020,Paper Source-Westheimer,Harris,Gulf Coast WDA,17,03/29/2020,04/13/2020,Houston
03/27/2020,"Compeat, Inc.",Travis,Capital Area WDA,56,03/31/2020,04/14/2020,Austin
03/26/2020,Pappasito's 24,Tarrant,Tarrant County WDA,42,03/16/2020,04/10/2020,Dallas
03/26/2020,Pappasito's 01,Harris,Gulf Coast WDA,86,03/16/2020,04/14/2020,Houston
03/26/2020,Pappadeaux Seafood Kitchen 34,Hidalgo,Lower Rio Grande Valley WDA,201,03/25/2020,04/13/2020,Pharr
03/26/2020,Pappas Delta Blues,Collin,North Central Texas WDA,75,03/21/2020,04/13/2020,Plano
03/26/2020,Pappadeaux Seafood Kitchen 35,Tarrant,Tarrant County WDA,88,03/19/2020,04/10/2020,Dallas
03/26/2020,Pappadeaux Seafood Kitchen 42,Tarrant,Tarrant County WDA,113,03/16/2020,04/10/2020,Dallas
03/26/2020,Pappasito's 02,Harris,Gulf Coast WDA,106,03/26/2020,04/14/2020,Houston
03/26/2020,Tinseltown USA El Paso,El Paso,Borderplexjobs WDA,108,03/26/2020,05/04/2020,El Paso
03/26/2020,Pappas Bar-B-Q 24,Dallas,Dallas County WDA,62,03/16/2020,04/10/2020,Duncanville
03/26/2020,Cinemark 12 Pearland,Brazoria,Gulf Coast WDA,37,03/26/2020,04/28/2020,Pearland
03/26/2020,Pappasito's 10,Harris,Gulf Coast WDA,169,03/16/2020,04/14/2020,Houston
03/26/2020,Pappasito's 12,Harris,Gulf Coast WDA,128,03/16/2020,04/14/2020,Houston
